experiment,accuracy,logical,clarity,detail,irrelevancy,relevancy
sc,3,3,3,3,3,1
sc,3,2,3,3,2,2
sc,3,3,3,3,1,3
sc,3,2,2,3,1,3
sc,3,2,3,3,2,2
sc,2,3,3,3,1,3
sc,3,3,3,3,1,3
,-1,-1,-1,-1,-1,
sc,3,3,3,3,2,2
sc,3,3,3,3,1,3
sc,3,3,3,3,1,3
sc,3,3,3,3,1,3
sc,1,2,3,3,2,2
sc,2,1,2,2,3,1
sc,3,3,3,3,1,3
sc,3,3,3,3,1,3
sc,3,3,3,3,1,3
sc,3,3,3,3,1,3
sc,1,1,3,1,2,2
sc,3,3,2,2,1,3
sc,2,2,3,3,2,2
sc,2,1,1,3,3,1
sc,3,3,3,3,2,2
sc,3,3,3,3,1,3
,-1,-1,-1,-1,-1,
sc,3,3,3,3,2,2
sc,3,3,3,3,1,3
sc,3,3,3,3,1,3
sc,2,2,3,3,3,1
sc,3,1,3,3,2,2
,-1,-1,-1,-1,-1,
sc,3,3,3,3,1,3
sc,3,3,3,3,1,3
sc,3,3,3,3,1,3
sc,3,3,3,3,1,3
sc,3,3,3,3,1,3
,-1,-1,-1,-1,-1,
sc,3,3,3,3,1,3
sc,3,3,3,3,2,2
sc,3,3,3,3,1,3
sc,3,3,3,3,2,2
sc,1,1,3,3,2,2
sc,3,3,3,3,1,3
sc,2,2,3,3,2,2
nonvis,3,3,3,3,1,3
nonvis,2,2,3,3,1,3
nonvis,3,3,3,3,1,3
nonvis,3,3,3,3,2,2
nonvis,3,3,3,3,1,3
nonvis,2,2,3,3,1,3
nonvis,3,3,3,3,2,2
nonvis,2,2,3,3,1,3
nonvis,2,1,3,1,1,3
nonvis,3,3,3,3,1,3
nonvis,3,3,3,3,2,2
nonvis,2,2,3,3,1,3
nonvis,3,3,3,3,1,3
nonvis,3,3,3,3,1,3
nonvis,2,1,3,3,2,2
nonvis,3,3,3,1,1,3
nonvis,3,3,3,3,1,3
nonvis,2,1,3,3,1,3
nonvis,2,1,3,1,1,3
nonvis,3,3,3,3,1,3
nonvis,3,3,3,3,1,3
nonvis,3,3,3,1,1,3
nonvis,2,1,3,3,1,3
nonvis,2,2,3,3,1,3
nonvis,3,3,3,2,1,3
nonvis,1,1,2,1,3,1
nonvis,3,3,3,3,1,3
nonvis,3,3,3,3,1,3
,-1,-1,-1,-1,-1,
nonvis,3,3,3,3,1,3
nonvis,3,3,3,3,1,3
nonvis,3,3,3,3,1,3
nonvis,2,1,3,1,1,3
nonvis,3,3,3,3,1,3
nonvis,2,2,3,3,1,3
nonvis,3,3,3,3,1,3
nonvis,3,3,3,2,1,3
nonvis,3,3,3,3,1,3
nonvis,3,3,3,3,1,3
nonvis,1,1,2,3,3,1
nonvis,2,2,3,3,2,2
nonvis,3,3,3,3,1,3
nonvis,3,3,3,3,1,3
nonvis,3,3,3,3,1,3
nonvis,3,3,3,3,1,3
nonvis,3,2,3,3,2,2
nonvis,2,2,3,3,1,3
nonvis,3,3,3,3,1,3
nonvis,3,3,3,3,1,3
nonvis,2,2,2,2,1,3
nonvis,3,3,3,3,1,3
,-1,-1,-1,-1,-1,
nonvis,3,3,3,3,1,3
nonvis,3,3,3,3,1,3
nonvis,2,3,3,3,1,3
nonvis,2,2,3,3,1,3
nonvis,2,2,3,3,2,2
nonvis,3,3,3,3,1,3
nonvis,2,3,3,3,1,3
nonvis,3,3,3,2,1,3
nonvis,3,3,3,3,2,2
nonvis,3,3,3,3,1,3
nonvis,2,2,3,1,3,1
nonvis,3,3,3,3,1,3
nonvis,2,2,3,2,1,3
nonvis,2,1,2,3,3,1
nonvis,3,3,3,3,1,3
nonvis,3,3,3,3,1,3
nonvis,3,3,3,3,1,3
nonvis,1,3,3,3,1,3
nonvis,2,2,3,3,2,2
nonvis,1,3,3,3,1,3
nonvis,3,2,3,2,1,3
nonvis,3,3,3,3,1,3
nonvis,3,2,3,3,2,2
nonvis,3,3,3,3,2,2
nonvis,2,2,2,2,1,3
